address,address extras,chain,label,tags
0x99A91871b93E13F53D8209529B5E390664bf25d8,,evm,eth with validators,eth-1;eth-with-validators
0x9DBE4Eb4A0a41955E1DC733E322f84295a0aa5c0,,evm,hahaha,evm-tag
0xc37b40ABdB939635068d3c5f13E7faF686F03B65,,evm,,
bc1qdf3av8da4up78shctfual6j6cv3kyvcw6qk3fz,,btc,bitcoin-1,bitcoin-1
qz5hccuhr036drq7m3mah3qf5x3f5phv05v5rtu5z2,,bch,bitcoin-cash-1,bitcoin-cash-1
EbEjgkw4Z2jFtaDad7zj59LrfmyuznXJzCmQh2qUfMvjiUj,,ksm,kusama-1,kusama-1
14rw69gBpjYwdiw5MzvsZCSYVnHqubpUSHC5QPNBY5MPAoRi,,dot,polkadot-1,polkadot-1
xpub6CcGTthbwnbxsMRuEF3XoYdekGtnGTsbiZ4ZKeqMC1UuqPYqh2xQj9hbEQj8AB9EuGeFHz4o3hWayZm5ahr5fyV2SNfNyA6htsZngM1DFBz,,btc,xpub-1,xpub-1
0x80858247aa14f2c23e9a83b65d2a3e3de22f16ddaaf3fad0fee52601d3f67f71ccb72b196a4789a9d0aa057721745996,,eth2,,
0x918583458bae9b00cfb9d78497d58f9678cf91755a08682410756909de021666208ecf84e97ac5abddbf5f17af5fb11d,ownershipPercentage=50.00,eth2,,
0xab423fb58c3498a8014bcc115be96bea77c99004fb59d3580d75fff0054e113d126ee6dd65faa027732f7cf38fdb4dd2,ownershipPercentage=22.00,eth2,,
0xa49152b5babd0130d9e5e3480eb9d17dfad5c090e6a7b6849e14b6baba0d47444fdd454303bfd202b6ae895654f678c0,ownershipPercentage=33.00,eth2,,
